airline,source,destination,duration,total_stops,additional_info,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year,route_key,price
Air Asia,kolkata,banglore,150,0,no info,19,55,6,5,2019,"('kolkata', 'banglore')",4409
Jet Airways,delhi,cochin,450,1,in-flight meal not included,20,55,9,5,2019,"('delhi', 'cochin')",12373
Indigo,delhi,cochin,305,1,no info,20,25,27,5,2019,"('delhi', 'cochin')",5054
Jet Airways,banglore,new delhi,375,1,no info,9,45,12,3,2019,"('banglore', 'new delhi')",12295
Indigo,mumbai,hyderabad,90,0,no info,16,55,12,5,2019,"('mumbai', 'hyderabad')",3603
Indigo,banglore,delhi,175,0,no info,7,10,1,5,2019,"('banglore', 'delhi')",4823
Air Asia,delhi,cochin,625,1,no info,20,45,6,6,2019,"('delhi', 'cochin')",11410
Jet Airways,delhi,cochin,940,1,in-flight meal not included,20,55,24,6,2019,"('delhi', 'cochin')",10262
Jet Airways,delhi,cochin,1705,2,no info,8,10,12,6,2019,"('delhi', 'cochin')",14300
Air India,delhi,cochin,1660,1,no info,4,0,9,3,2019,"('delhi', 'cochin')",10315
Air India,delhi,cochin,1100,2,no info,13,20,6,6,2019,"('delhi', 'cochin')",12751
Jet Airways,kolkata,banglore,910,1,in-flight meal not included,18,55,24,5,2019,"('kolkata', 'banglore')",8586
Air India,delhi,cochin,1335,1,no info,21,0,27,5,2019,"('delhi', 'cochin')",8372
Vistara,delhi,cochin,190,0,no info,14,40,1,4,2019,"('delhi', 'cochin')",4851
Multiple Carriers,delhi,cochin,780,1,no info,6,0,18,5,2019,"('delhi', 'cochin')",9794
Jet Airways,banglore,new delhi,1285,1,in-flight meal not included,22,55,12,3,2019,"('banglore', 'new delhi')",11087
Indigo,delhi,cochin,415,1,no info,18,35,24,6,2019,"('delhi', 'cochin')",5883
Air India,banglore,delhi,165,0,no info,6,10,24,4,2019,"('banglore', 'delhi')",5228
Jet Airways,delhi,cochin,1425,1,no info,19,15,1,6,2019,"('delhi', 'cochin')",14714
Jet Airways,mumbai,hyderabad,90,0,no info,10,20,21,3,2019,"('mumbai', 'hyderabad')",8040
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,7,5,18,5,2019,"('mumbai', 'hyderabad')",4050
Multiple Carriers,delhi,cochin,465,1,no info,11,30,21,5,2019,"('delhi', 'cochin')",14848
Multiple Carriers,delhi,cochin,720,1,no info,9,0,9,5,2019,"('delhi', 'cochin')",8073
Spicejet,delhi,cochin,270,1,no info,8,45,6,6,2019,"('delhi', 'cochin')",5264
Air India,mumbai,hyderabad,75,0,no info,19,30,9,5,2019,"('mumbai', 'hyderabad')",3100
Air Asia,kolkata,banglore,500,2,no info,15,10,24,5,2019,"('kolkata', 'banglore')",5192
Air India,kolkata,banglore,1440,1,no info,14,35,18,5,2019,"('kolkata', 'banglore')",6528
Air India,delhi,cochin,795,1,no info,9,45,18,5,2019,"('delhi', 'cochin')",8907
Multiple Carriers,delhi,cochin,375,1,no info,13,0,27,5,2019,"('delhi', 'cochin')",15898
Indigo,mumbai,hyderabad,85,0,no info,21,20,3,3,2019,"('mumbai', 'hyderabad')",4784
Jet Airways,banglore,new delhi,805,1,in-flight meal not included,5,45,21,3,2019,"('banglore', 'new delhi')",7832
Multiple Carriers,delhi,cochin,755,1,no info,6,40,3,6,2019,"('delhi', 'cochin')",7354
Air India,delhi,cochin,1180,2,no info,12,0,18,5,2019,"('delhi', 'cochin')",8603
Indigo,delhi,cochin,895,1,no info,10,35,9,4,2019,"('delhi', 'cochin')",6270
Spicejet,chennai,kolkata,140,0,no info,17,45,24,5,2019,"('chennai', 'kolkata')",3597
Jet Airways,banglore,delhi,175,0,in-flight meal not included,15,15,1,6,2019,"('banglore', 'delhi')",7229
Indigo,banglore,delhi,175,0,no info,7,10,18,5,2019,"('banglore', 'delhi')",4823
Jet Airways,banglore,new delhi,1420,1,in-flight meal not included,8,0,21,3,2019,"('banglore', 'new delhi')",7832
Air India,banglore,delhi,165,0,no info,17,0,12,5,2019,"('banglore', 'delhi')",5438
Jet Airways,kolkata,banglore,1685,1,no info,17,0,12,5,2019,"('kolkata', 'banglore')",12121
Indigo,kolkata,banglore,290,1,no info,15,15,24,4,2019,"('kolkata', 'banglore')",4565
Air Asia,banglore,delhi,170,0,no info,4,55,1,4,2019,"('banglore', 'delhi')",4282
Air India,banglore,new delhi,1710,2,no info,6,50,12,3,2019,"('banglore', 'new delhi')",12734
Vistara,banglore,delhi,170,0,no info,21,0,9,6,2019,"('banglore', 'delhi')",4668
Multiple Carriers,delhi,cochin,455,1,in-flight meal not included,14,55,15,6,2019,"('delhi', 'cochin')",6093
Jet Airways,kolkata,banglore,1655,1,no info,20,0,1,4,2019,"('kolkata', 'banglore')",12681
Air India,delhi,cochin,1730,2,no info,14,25,9,6,2019,"('delhi', 'cochin')",13381
Jet Airways,banglore,new delhi,365,1,in-flight meal not included,16,55,12,3,2019,"('banglore', 'new delhi')",11087
Multiple Carriers,delhi,cochin,455,1,no info,14,55,15,5,2019,"('delhi', 'cochin')",6513
Multiple Carriers,delhi,cochin,780,1,no info,8,0,1,6,2019,"('delhi', 'cochin')",13587
Spicejet,banglore,delhi,160,0,no check-in baggage included,5,55,15,5,2019,"('banglore', 'delhi')",3257
Spicejet,chennai,kolkata,135,0,no check-in baggage included,8,20,24,3,2019,"('chennai', 'kolkata')",3807
Jet Airways,delhi,cochin,1295,2,in-flight meal not included,21,25,15,6,2019,"('delhi', 'cochin')",10588
Jet Airways,banglore,delhi,175,0,no info,15,15,9,6,2019,"('banglore', 'delhi')",8016
Jet Airways,kolkata,banglore,450,1,in-flight meal not included,21,10,1,4,2019,"('kolkata', 'banglore')",8849
Jet Airways,delhi,cochin,610,1,no info,18,15,3,6,2019,"('delhi', 'cochin')",14714
Jet Airways,kolkata,banglore,1220,1,no info,8,25,24,3,2019,"('kolkata', 'banglore')",13759
Multiple Carriers,delhi,cochin,900,1,no info,6,0,6,6,2019,"('delhi', 'cochin')",7005
Jet Airways,banglore,new delhi,550,1,no info,7,0,1,3,2019,"('banglore', 'new delhi')",26890
Indigo,delhi,cochin,415,1,no info,18,35,21,5,2019,"('delhi', 'cochin')",7006
Air India,delhi,cochin,375,1,no info,13,0,27,5,2019,"('delhi', 'cochin')",9719
Air India,delhi,cochin,1275,2,no info,22,0,1,5,2019,"('delhi', 'cochin')",11281
Indigo,chennai,kolkata,140,0,no info,13,15,24,5,2019,"('chennai', 'kolkata')",3597
Air India,kolkata,banglore,150,0,no info,14,15,18,4,2019,"('kolkata', 'banglore')",5510
Jet Airways,kolkata,banglore,1480,1,in-flight meal not included,20,25,9,6,2019,"('kolkata', 'banglore')",10539
